word,dialect,definition,example_runyoro,example_rutooro,related_words
busobozi,Runyoro-Rutooro,"power, ability, authority",,,pl: niJ
busooki,Runyoro-Rutooro,insolence,,,pl: nil
busuka,Runyoro-Rutooro,to drink salt spring water (cattle,,,
busuma,Runyoro-Rutooro,"theft, greed",theft (greed.),,pl: nil
busumba,Runyoro-Rutooro,work of a shepherd,,,pl: nil
busumi,Runyoro-Rutooro,"to take (cattle) to salt spring water. busura, o-. (pl. same), genital organs of a child. busurungu to, o-, (pl. nil), dung (of goat and sheep","time. busumiikiranizo (o-, n. cl. (pl. same), fastening. joint. busunsu, o-.n. cl. 14, (pl. same), hair of child shaved in a spiral pattern. busura, ku-, oku-, v.11:, (pf. -buswire), to take (cattle) to salt spring water. busura, o-. n. cl. 14, (pl. same), genital organs of a child. busurungu to, o-, n. cl. 14, (pl. nil), dung (of goat and sheep).)",,pl: nil
busuubuzi,Runyoro-Rutooro,"trade. busuuh uuki, o-, 11. cl. 14, (pl. nil), exile, emigration. busuuru, o-, 11. cl. 14, (pl. nil), ground-rent. busuuti, 11. cl. 9a, f., (pl. zaabusuuti), Arab robe. buswagirizi, O-, (pl. nil), flattery",,,pl: nil
buswahirizi,Runyoro-Rutooro,"provocation, taunting, booing. buswale, o-, 11. cl. 14, (pl. maswale, a-), raffia",,,pl: nil
buta,Runyoro-Rutooro,be feeble,"p1: form (butira, ku-, oku- (pf. -butiire))",,c. form: busa; pass. form: busibwa
butaahi,Runyoro-Rutooro,"neighbourhood,neighbourliness",,,pl: nil
butaaho,Runyoro-Rutooro,"residence, dwelling place. butaami, o-, 11 cl. 14, (pl. nil), foolishness (bad sense). butaara, adv. gwa b., be ety. deserted (e.g. house","lya b. (be free, Sbsolutely or completely free.)",,pl: nil
butabuta,Runyoro-Rutooro,"to bend low before superior, bend due to old age",,,pr. form: bu; pl: nil
butama,Runyoro-Rutooro,"10 collapse, fall in",10 collapse (fall in),,c. form: butamya; pass. form: butamibwa; pl: nil
butanwa,Runyoro-Rutooro,"accidental occurrence (""butandwa, o-""). butara, o-, 11. cl. (pl. nil","accidental occurrence (""butandwa (o-""). butara, o-, 11. cl. (pl. nil))",,pl: nil
butatara,Runyoro-Rutooro,to spread about (spilt liquid,"p1: form (butataraarra, ku-, oku- (pf. -butataraliire))",,c. form: butataza; pass. form: butatazibwa; pl: nil
butcher,Runyoro-Rutooro,"omubaagi, omusazi w'enyama. butt, v., banda, buumira, tomera",,,
buteere,Runyoro-Rutooro,"flour of dried plantains, cassava, etc. buteero, o-, 11. c/.14, (pl. nil","flour of dried plantains (cassava, etc. buteero, o-, 11. c/.14, (pl. nil))",,pl: nil
butembane,Runyoro-Rutooro,"inbreeding. butende, o-, n. c/.14, (pl. nil","inbreeding. butende (o-, n. c/.14, (pl. nil))",,pl: nil
butiini,Runyoro-Rutooro,"fear, cowardice",fear (cowardice.),,pl: nil
butika,Runyoro-Rutooro,"to dumpdown. butiti, o-, 11. c/.14, (pl. nil","to dumpdown. butiti (o-, 11. c/.14, (pl. nil))",,pl: nil
butogoro,Runyoro-Rutooro,"blood pudding (=obukorongo). butoigo, o-, 11. cl.14, (pl. matoigo, a-","blood pudding (=obukorongo). butoigo (o-, 11. cl.14, (pl. matoigo, a-))",,pl: nil
butooganiro,Runyoro-Rutooro,"excuse, defence. butoorre, o-, 11. cl.14, (pl. nil","excuse (defence. butoorre, o-, 11. cl.14, (pl. nil))",,pl: nil
butter,Runyoro-Rutooro,entoijo,,,
butterfty,Runyoro-Rutooro,"ekihoiholya, ekihoihoro",,,
buttermilk,Runyoro-Rutooro,"amacunda. buttocks, 11, ekibunu, enio",,,
button,Runyoro-Rutooro,"ipeesa,ekijarara. buttonhole, make, sahura, baziira tuodu. buy, v., gura, bambira",,,
butura,Runyoro-Rutooro,"buy for a low price, get a bargain",buy for a low price (get a bargain),,
buturumuki,Runyoro-Rutooro,"sloth, slackness",sloth (slackness.),,pl: oil
butuzi,Runyoro-Rutooro,used mainly in pl. form,"button mushrooms (termitomyces microcaIpus). butwa (o-.n.cl.14, (pl. nil))",,pl: nil
butweki,Runyoro-Rutooro,"fomication(male). butwera, o-, adv., zaara ob., bear children frequently","fomication(male). butwera (o-, adv., zaara ob., bear children frequently.)",,pl: nil
buura,Runyoro-Rutooro,"give warning. buurra, .t1","give warning. buurra (ku-, oku-, v.t1:, (pf. -buurwire))",,pr. form: b; c. form: buuruza; pass. form: buuruzibwa
buurru,Runyoro-Rutooro,"cloud of dust, etc.stired up, muddy water. buuruza, .l., , to waJk with eyes closed","cloud of dust (etc.stired up, muddy water. buuruza, ku-, oku-, v.l., (pf. – buurwize), to waJk with eyes closed.)",,pl: nil
buuta,Runyoro-Rutooro,very feeble person,,,pl: same
buutikira,Runyoro-Rutooro,,to smother (cover up),,c. form: buutiki; pass. form: buutikinva
buya,Runyoro-Rutooro,to be sleepless,"pi: form (buyira, ku-, oku-, (pf. -buyiire))",,c. form: buyisa; pass. form: buyisibwa
buyer,Runyoro-Rutooro,omuguzi,omubambizi buzz; by means of,omubambizi buzz; by means of,
buza,Runyoro-Rutooro,lose wilfully or accideotJy,ekisumuruzo ky'orwigi (the child has misplaced the key to the door),,c. form: buliza; pass. form: buzibwa; pl: nil
buzaale,Runyoro-Rutooro,used mainJy in pl. form,"clanship (relationship, kinship.)",,
buzaana,Runyoro-Rutooro,"slavery, servitude(of women",slavery (servitude(of women).),,pl: nil
buzaarraanwa,Runyoro-Rutooro,"birth, nature received at birth",birth (nature received at birth.),,pl: nil
buzaarwa,Runyoro-Rutooro,"parentage, birthplace. buzaire, o-, n. c/.14, (pl. nil), lochia after childbirth","parentage (birthplace. buzaire, o-, n. c/.14, (pl. nil), lochia after childbirth)",,pl: nil
buzezi,Runyoro-Rutooro,"profession of magic, witchcraft",profession of magic (witchcraft.),,pl: nil
buzigaijo,Runyoro-Rutooro,"position of first born child, birthright","onu move omwana we ow 'obuzigaijo (this is her first bOm. buzigu, o-, 11. c/.14, (pl. nil), hostility, enemy)",,pl: nil
buzimbira,Runyoro-Rutooro,"bulk. buzindaazi, o-, n. c/.14, (pl. nil), hoarseness. buzinzi, o-, 11. cl. 4, (pl. nil",violence (highway robbery),,pl: nil
bwabwanura,Runyoro-Rutooro,,"amaino agarwaire tigasobora kubwabwal111ra igufa (faulty teeth will not crunch a born. bwadi, o-, adv., long ago)",,pl: nil
bwagaarra,Runyoro-Rutooro,to be squashed,,,pr. form: bwagaraarra; c. form: bwagarar; pass. form: bwagarazibwa
bwagura,Runyoro-Rutooro,,to bear (puppy (cubs)),,pass. form: bwagurwa
bwahuzi,Runyoro-Rutooro,"storing up, stewardship. bwakabiri, adv., second time",bunu bwakabiri naaamjuma (this is the second time he is insulting her.),,pl: nil
bwakaiso,Runyoro-Rutooro,"witness, testimony, evidence. bwakuuma,o-,11cl.14,(pl.nil),cud. bwakyo, o-, n. cl. ♀, (pl. kaakyo, a-), tinny flowers",ob. bw'esojo (fluffy spike of a grass (esojo).),,pl: nil
bwalingi,Runyoro-Rutooro,"laziness, fool ishness",,,pl: nil
bwamata,Runyoro-Rutooro,tonsils,,,pl: nil
bwamba,Runyoro-Rutooro,copious Row of blood,,,pl: same
bwana,Runyoro-Rutooro,small children,,,pl: kaana
bwanda,Runyoro-Rutooro,"small yellow stonecrop (Portulaca quadrifida). bwanga, o-, 11. cl. 14, (pl. kanga, a-), hollows in orusoro board","small yellow stonecrop (Portulaca quadrifida). bwanga (o-, 11. cl. 14, (pl. kanga, a-), hollows in orusoro board.)",,pl: nil
bwangi,Runyoro-Rutooro,"refusal. bwangu, adv., quickly. bwangu, o-, n. cf. 14, (pl. nil), quickness, haste. bwanyakatagara, o-, n.. cl. 14, (pl. nil), priesthood, priest's office","refusal. bwangu (adv., quickly. bwangu, o-, n. cf. 14, (pl. nil), quickness, haste. bwanyakatagara, o-, n.. cl. 14, (pl. nil), priesthood, priest's office.)",,pl: nil
bwara,Runyoro-Rutooro,to creep quietly,,,pr. form: bwarra; c. form: bwaw; pass. form: bwavbwa
bwarabwara,Runyoro-Rutooro,"to crouch down, hide",to crouch down (hide),,c. form: bwarabwaza; pass. form: bwarabwat; pl: oil
bwasiogo,Runyoro-Rutooro,"dry cow-dung used for making fire for cattle. bwate, o-, c/. l4, (pl. nil), envy, jealousy, disagreeableness, unsociability",,,pl: nil
bwati,Runyoro-Rutooro,fissures of childbirth,,,pl: nil
bwato,Runyoro-Rutooro,"canoe, boat",,,pl: maato
bwatuka,Runyoro-Rutooro,"to make noise (thunder), explode. bweculiko, o-, n. c/.14, (pl. nil","slope. bwecumi (o-, 11. cl.14, (pl. nil))",,pl: nil
bwcganyirizi,Runyoro-Rutooro,"slackness, laziness. bwcgege, adv., carefully",,,pl: same
bwcgcsibwa,Runyoro-Rutooro,civilization,,,pl: nil
bwcgesa,Runyoro-Rutooro,teaching,,,pl: nil
bwcgombi,Runyoro-Rutooro,covetousness,,,pl: same
bwcka,Runyoro-Rutooro,to hide in a safe place,,,pr. form: bwekera
bwckanasi,Runyoro-Rutooro,"laziness, idleness, indolence",,,pl: nil
bwckobi,Runyoro-Rutooro,"conspiracy, plot. bwekubizo, o-, 11. cl., 14, (pl. nil), careful upbringing, petting. bwekuniki, o-, n. cl., 14, (pl. nil), conceit, showing off. bwemi, adv., upright, lengthwise",,,pl: nil
bwebinduurro,Runyoro-Rutooro,"room to tum, freedom",,,pl: nil
bwecwiso,Runyoro-Rutooro,"expiation. bwcganyi, o-, 11.cl. 14, (pl. same",,,pl: same
bwegendereza,Runyoro-Rutooro,"carefulness, circumspection, thrift",,,pl: same
bwekambi,Runyoro-Rutooro,"deligeocc, zeal, earnestness, zest",,,pl: nil
bwekiiko,Runyoro-Rutooro,"bend, curve, tum",,,pl: oil
bwemi,Runyoro-Rutooro,"rebellion, treachery",,,pl: same
bwenda,Runyoro-Rutooro,"generosity, liberality, bounty. bwenderezi, o-, n. cl. (pl. nil), oppression, bullying. bwcnobi,o-,n.cl.,14,=bwenugi,o-",,,pl: nil
bwenugi,Runyoro-Rutooro,"neglect of personal appearance, unsociability. bwerebwerc, adv., openly (doing, showing",,,pl: nil
bwereme,Runyoro-Rutooro,"willfulness, rebellion, impudence",,,pl: nil
bweremera,Runyoro-Rutooro,"exclusively one's own without encumbarances (of rule or property), sole ownership. bwerengcrezi, o-, n. cl. I 4, (pl. nil), bullying, scornfulness",,,pl: nil
bwerindwa,Runyoro-Rutooro,fragility,,,pl: nil
bwerre,Runyoro-Rutooro,"open country, land (as opposed to sea), plains",,,pl: nil
bweru,Runyoro-Rutooro,"whiteness, clearness",,,pl: nil
bwesaganirizo,Runyoro-Rutooro,rustling,,,pl: nil
bwesengeze,Runyoro-Rutooro,leasehold land,,,pl: ni
bwesereko,Runyoro-Rutooro,"hiding place, refuge",,,pl: nil
bwesige,Runyoro-Rutooro,"trust, confidence, assurance",,,pl: nil
bwesigwa,Runyoro-Rutooro,"trustworthiness, faithfulness",,,pl: nil
bwesumbo,Runyoro-Rutooro,shelter from rain,,,pl: nil
bwesumikiri,Runyoro-Rutooro,"lumps (in flour), etc. bwesungi, o-, 11. cl. 14, (pl. nil), cheek, impudence, naughtiness",,,pl: nil
bweyaganuurro,Runyoro-Rutooro,"pl. ni l), room to move, freedom, spacious",,,pl: ni
bwezigooro,Runyoro-Rutooro,"curve, bend, round about",,,pl: nil
bwibi,Runyoro-Rutooro,"theft. bwigamiro, o-, n. c/.14, (pl. nil), support, prop","omwwaire w'omugongo taikaarra ntebe etaina bwigm iro (a person suffering from backache will not sit on a chair without a prop. bwigamo, o-, n., c/.13, (pl. nil), shelter. Bwigara, int., expression of pity.)",,pl: nil
bwigara,Runyoro-Rutooro,"smallpox. bwigaramatu, (pl. kaigaramatu), small insects like white ants. bwigunda, o-, 11. c/.14, (pl. nil). (=bwigurumba, o-) bwiguru, o-, n.. c/.13, (pl. nil), word used to express one's frankness",,,pl: nil
bwigurumba,Runyoro-Rutooro,"bigness, bulk. bwiguu gu, 11. cl. la, (pl. baabwiguu gu). bully","bigness (bulk. bwiguu gu, 11. cl. la, (pl. baabwiguu gu). bully)",,pl: nil
bwijukuru,Runyoro-Rutooro,"ancestry, generations","ndi mwhwa w 'Abacwezi (mwijukunt w 'Abagahi hantbaju rwa ise1Iyowe, I am a nephew to the Bacwezi clan and a grandson to Bagahi clan on my paternal side. bwikaro, o-, 11. cl. 14, (pl. nil), dweUing-place, residence, abode.)",,pl: nil
bwiko,Runyoro-Rutooro,"mutual hatred, enmity",,,pl: nil
bwina,Runyoro-Rutooro,"linle holes, tunnels",,,pl: of
bwinazi,Runyoro-Rutooro,"pl. nil), poverty, bad luck",,,pl: nil
bwingi,Runyoro-Rutooro,"pl. nil), plenty, more than one in number","obwi1lgi bw 'kitabu 1111bwo ebitabu (the plural of a book, is books. bwingira, o-, ll. cl. 14, (pl. maingira. a-), cave. den. bwinike,o-. 11..d. 13.(pl. nil).serfdom. bwino, 11.cl. 9. (pl. same ))",,pl: nil
bwiru,Runyoro-Rutooro,"pl. nil), slavery, servitude, bondage. bwirukiro, o-, ll. cl. 14, (pl. nil), place of refuge, retreat",,,pl: nil
bwisampundu,Runyoro-Rutooro,"used mainly in pl. form), little scarlet and black seeds of a creeper",,,
bwisi,Runyoro-Rutooro,"murder. bwisik.i, o-, (pl. of. kaisiki, a-), girlhood",,,pl: nil
bwituzo,Runyoro-Rutooro,"used only in pl. form), grass (esojo) used for smoking milk vessels",,,
bwizi,Runyoro-Rutooro,banana wine with plenty of waler in it,"ijura ob. (be full to the brim. bwo, self-standing pron., for nouns in cl.14, obwa11a bw 'embeba bukuza obw 'anjangu, kandi bwo obw'enjal1gu bukuza ki? if the young ones of a rat are prey (food) for the kittens, whose prey are the kittens themselves?.)",,pl: nil
bwogi,Runyoro-Rutooro,pl. same,"sharpness (edge. bwogo, o-, n. cl. l4, (pl. nil)i, (pl. same))",,pl: nil
bwojo,Runyoro-Rutooro,"boyhood (sex, not period",boyhood (sex (not period).),,pl: nil
bwoki,Runyoro-Rutooro,honey,,,pl: nil
bwomangane,Runyoro-Rutooro,"toughness. bwomeezi, o-, n.c./.l4, (pl. same","toughness. bwomeezi (o-, n.c./.l4, (pl. same))",,pl: nil
bworobi,Runyoro-Rutooro,"softness, tenderness",softness (tenderness.),,pl: oil
bworoozi,Runyoro-Rutooro,guardianship,,,pl: oil
bwose,Runyoro-Rutooro,used mainly in pl. form,"hair from tail of cow (goat, etc.)",,
bwotere,Runyoro-Rutooro,"to long for, hanker after, press (clothes). byahi, e-, 11. cl.8, (pl. of kyahi, e-}","amagita g'ob. (butter mixed with perfume. bwoya, o-, 11., cl. 13, (pl. of kooya, a-), hair)",,pl: oil
byakeeri,Runyoro-Rutooro,used only inpl.form,,,
byama,Runyoro-Rutooro,"to lie down, go to bed",to lie down (go to bed),,pr. form: byamira; c. form: byamya; pass. form: byamibwa
byamba,Runyoro-Rutooro,usedonlyinpl.form},,,
byaoa,Runyoro-Rutooro,"omuntu anyakwina banyakwani be tabunva muntu ow'okumubyaza, a person with friends never fails lo get someone to help him/her with the planting","fruit (offspring. byara,e-,n.,cl.8,(p/.ofkyara,e-))",,pass. form: byarwa
byenga,Runyoro-Rutooro,used only in pl. form},"slag of iron (dross. byeosoni, e-, n., cl.8, (used in pl.), acts not allowed to be said or done openly, shameful things)",,
byeoda,Runyoro-Rutooro,used only in pl.form},,,
byeyererwa,Runyoro-Rutooro,"ekihinzi kimubyokeriire omumuhanda naija, she has been attacked by cold while on the way coming","gwa 011111by. (find no one in, etc. byo, self-standing for nouns in cl.4, they)",,pr. form: hyokeerra; pass. form: byokerwa; pl: nil
byondo,Runyoro-Rutooro,used only in pl.form,,,
byorwaoju,Runyoro-Rutooro,used only in pl. form,,,
byoya,Runyoro-Rutooro,"to be always visiting. caacaara, <i","feathers (fur (animal hair). C. one of the consonants io Runyoro-Rutooro. voiceless and post alveolar affricate. caacaalya, ku-, oku-, vi., (pf. -caacaalize))",,pl: of
bystander,Runyoro-Rutooro,"v., keekera. orukande",,,
caaka,Runyoro-Rutooro,"to begin, start",,,pr. form: caakira; c. form: caakisa; pass. form: caakisihwa
caca,Runyoro-Rutooro,"to walk on the heels, walk with flat feet, omuntu obu ahutaara hansi y'ekigere arubata naacaca, when a person is hurt under the foot, he/she walks on the heels","to walk on the heels (walk with flat feet, omuntu obu ahutaara hansi y'ekigere arubata naacaca, when a person is hurt under the foot, he/she walks on the heels)",,c. form: cacisa
cactus,Runyoro-Rutooro,"orutaoga, cokukuuru y'ekijungu, enkoni, oruyenje. campaign, 11., oruramago. campaign, v., ramaga. cage, 11. ekijoojoro, ekitimba",,,
calabash,Runyoro-Rutooro,"ekisisi, ekisaabu, ekirerc, orutuuba, endeku, entema, eodangira encundiro, enkooba, etc. campaigner, omuramagi",,,
calculate,Runyoro-Rutooro,"bara, lenga. cancel, v., ita, ihaho, leka, dibya",,,
caldroo,Runyoro-Rutooro,"esafuliya, enyuogu, ekinaga, eddoogo",,,
calf,Runyoro-Rutooro,enyaoa,"we, encwerraano. candle, omusubbaaaho. candlestick, ekiti ky'omusubbaaaho. calico, malekaani","we, encwerraano. candle, omusubbaaaho. candlestick, ekiti ky'omusubbaaaho. calico, malekaani",
call,Runyoro-Rutooro,kunga,"etereza, hasura, (of milking cows), kookooma; etereza","etereza, hasura, (of milking cows), kookooma; etereza",
caller,Runyoro-Rutooro,omubungi,,,
calling,Runyoro-Rutooro,okwetwa,,,
calm,Runyoro-Rutooro,"culeeza, siza capacity, amagezi, obusobozi rundi amaani agasobozesa omuntu kuhikiriza eki arukugonza kukora. calumny, adj., obuhangirizi",,,
cambaituka,Runyoro-Rutooro,"to spill over, shake about (e.g. water in a pail.contents of bundle). cambaitu ra, .tr","to spill over (shake about (e.g. water in a pail.contents of bundle). cambaitu ra, ku-, oku-, v.tr., (pf.-cambaitwire))",,c. form: cambait
camel,Runyoro-Rutooro,"eogamiya, engamira. cape gooseberry, orutuutu",,,
camp,Runyoro-Rutooro,"dikira, juumika, ata",omwegereko. camp; ikiriza kusiingwa. caress,omwegereko. camp; ikiriza kusiingwa. caress,
can,Runyoro-Rutooro,"edebe, akadobo, omukebe. can, v., use, sobora. calamity, adj., obubi, obujune, omuhito",,,
canal,Runyoro-Rutooro,omukura,,,
cancer,Runyoro-Rutooro,ekookoro,,,
canda,Runyoro-Rutooro,"to be in agony, be tortured, suffer","to be in agony (be tortured, suffer)",,pr. form: candira; c. form: canza; pass. form: candhwa
candabana,Runyoro-Rutooro,"to be in trouble, illor tired",to be in trouble (illor tired),,c. form: candabaniza; pass. form: ca
candakaarra,Runyoro-Rutooro,"to be exhausted (with coughing, weeping etc",to be exhausted (with coughing (weeping etc.)),,c. form: candakaraza; pass. form: cankunywa
cane,Runyoro-Rutooro,"oruga, masa",ensibago,ensibago,
cannibal,Runyoro-Rutooro,"omuli w'abantu, omukaraka",,,
cannon,Runyoro-Rutooro,omuzinga,,,
canoe,Runyoro-Rutooro,"obwato, eryato",,,
canvas,Runyoro-Rutooro,"entarabuusu ezirukunanata. calm, adj., -culeezi. capability,obusobozi. capable, arukusobora",,,
canza,Runyoro-Rutooro,torture,"pi:form (candiza, ku-, oku-, (pf. -candiize))",,c. form: canzibwa; pass. form: canzibwa
capira,Runyoro-Rutooro,"to be excitable, want to see what is going on",to be excitable (want to see what is going on),,c. form: capiza; pass. form: capizibwa
captain,Runyoro-Rutooro,"omwebembezi, omukuru, engabwa. carpenter, v., baija",,,
captive,Runyoro-Rutooro,"omunyagwa, omubohwa, omukwatwa, omusingurwa",,,
captor,Runyoro-Rutooro,"omukwasi, omunyagi, omuhambi. capture, v., kwata, nyaga, hamba",,,
capuka,Runyoro-Rutooro,"to be chipped. capura, .11:, : to chip, break off (a small piece","to be chipped. capura (ku-, oku-, v.11:, (pf. -capwire): to chip, break off (a small piece))",,pr. form: capuurra; c. form: capurwa; pass. form: capurwa
carama,Runyoro-Rutooro,"to be free, be at ease. ccba, .lr., , to pound, crush","to be free (be at ease. ccba, ku-, oku-, v.lr., (pf. -cebere), to pound, crush)",,pr. form: cebera; c. form: cebesa
caravan,Runyoro-Rutooro,Safaali,,,
carcass,Runyoro-Rutooro,omutumbi,see orusinga,see orusinga,orusinga
care,Runyoro-Rutooro,"taho mutima, faayo","take care! mpora!-take c., erinda, egendereza","take care! mpora!-take c., erinda, egendereza",
carefully,Runyoro-Rutooro,mpora,"n'okwerinda, n'omutima; n'okwerinda","n'okwerinda, n'omutima; n'okwerinda",
carefulness,Runyoro-Rutooro,obwegendereza,see obulengerezi,see obulengerezi,obulengerezi
carpenter,Runyoro-Rutooro,"omubaizi, omusaruzi",,,
carpentry,Runyoro-Rutooro,"obubaizi. captivity, adj., obunyagwa, obukwatwa, obubohwa",,,
carpet,Runyoro-Rutooro,"ekirago, egodooli",,,
carriage,Runyoro-Rutooro,"egaali, ekigaali ekiri kusikwa, ekigadi",,,
carrier,Runyoro-Rutooro,"omubeeki, omutwazi, omuhimbi, omwetweki, omupakasa, omupagasa",,,
carrion,Runyoro-Rutooro,"etweka, etwendekeerra",slung over shoulder,slung over shoulder,
cart,Runyoro-Rutooro,"ekigaali, ekyaburamuti, ekigadi, ekineogere",,,
cartilage,Runyoro-Rutooro,"empekenyu. cartridge, n., carefree, be, ana, etafaaho, etabuganyi. omwambi gw'embundu",c. -belt; taatiirra,c. -belt; taatiirra,
carver,Runyoro-Rutooro,"carver, adv, omubaizi, omusaruzi",,,
carving,Runyoro-Rutooro,"ekibaije, ekisisani ekisarwirwe",,,
cascade,Runyoro-Rutooro,"ekiisurumba. careless, be, taama, hulyahulya",see case,see case,case
cash,Runyoro-Rutooro,"^ ensimbi, efeeza, sente. cash, pay, sasuurraabo, sasura burobo",,,
cask,Runyoro-Rutooro,"naga, teera bansi, buadaaza",be c. down; teera amabaale,be c. down; teera amabaale,
cat,Runyoro-Rutooro,enjang,"see nyamwegodi, abwoli.; see nyamwegodi","see nyamwegodi, abwoli.; see nyamwegodi",nyamwegodi
catapult,Runyoro-Rutooro,"omwesuuso, butida, embasuko",,,
cataract,Runyoro-Rutooro,ekiisurumba,,,
catarrh,Runyoro-Rutooro,"rwara, siigwa, tulirwa",,,
catechist,Runyoro-Rutooro,"omwegesa, omusomesa. catechize, v., kaguza, eby'edii ni ya kristo. catecbumen, adj., anyakusoma okubatizibwa, omwesorooza, omucweka",,,
cater,Runyoro-Rutooro,"omuJi, omuneoi. eavesdrop, v., gwera amaju, huliiriza ensita",,,
caterpillar,Runyoro-Rutooro,"ekibweguurra, mpuhira, akadoima, akacenkede, ekinyamasoga, akalerabaaoa, kabiibi",,,
cattle,Runyoro-Rutooro,ente,c. plague,c. plague,
caul,Runyoro-Rutooro,hakuzaarwa,,,
causeway,Runyoro-Rutooro,"orutiodo, oburabo, makutu. cauterize, okay, sama",,,
caution,Runyoro-Rutooro,"okwerinda, okuteereerra, kuhabura, obwegendereza","ebihaniirro. caution, v., babura, teereerra, haniirra. cautious, be, erinda, ekenga, egendereza, ebaarra. cave, cavern, n., obwingira. cease, v., leka.; ebihaniirro. caution","ebihaniirro. caution, v., babura, teereerra, haniirra. cautious, be, erinda, ekenga, egendereza, ebaarra. cave, cavern, n., obwingira. cease, v., leka.; ebihaniirro. caution",
cbiefty,Runyoro-Rutooro,"olrukira. chieftainship, adj., obunyoro, obutaka",,,
cccba,Runyoro-Rutooro,"to mock. cccba, .11",,,pr. form: ceebera; pass. form: ceebwa
ceaselessly,Runyoro-Rutooro,"obutaleka, obutaikya, obudaida. cede, v., hayo, obusobozi",,,
cebaceba,Runyoro-Rutooro,to trot,,,
ceeceeba,Runyoro-Rutooro,"to be painful, to ache (esp. bones",to be painful (to ache (esp. bones)),,pr. form: cekecera; c. form: cekesa; pass. form: cekecebwa
ceiling,Runyoro-Rutooro,"etandaruha. celebrate, v., ijuka, kugiza, haisaniza, rangaaniza, jaguza. celebrated, be, rangaanwa, manywa, atukiirra, haisanizibwa",,,
cekya,Runyoro-Rutooro,lo weaken. cencebuka,to be tom (ragged),,pass. form: ce
celibacy,Runyoro-Rutooro,"obuhuuru, okutaswera",,,
celibate,Runyoro-Rutooro,omuhuuru,,,
cell,Runyoro-Rutooro,akasiika,,,
cement,Runyoro-Rutooro,"dongobulaaya, sementi. cement, v., gumiza kimu",c. a. friendship,c. a. friendship,
cementery,Runyoro-Rutooro,"bana, hakaniza ernil<oorre embi",,,
cent,Runyoro-Rutooro,sente,,,
center,Runyoro-Rutooro,hagati,,,
centipede,Runyoro-Rutooro,"orunaku, bwhulebwona, siga. century, 11, ekikumi, emyaka ekikumi. cerebro-spinal-meningitis, n., omugangamo, muraramo",,,
certain,Runyoro-Rutooro,"amazima, (a) - amananu, make c., gumya",,,
certainly,Runyoro-Rutooro,"mazimakwo, mananukwo, kimu, mali",,,
certificate,Runyoro-Rutooro,"ebbaruha ey'okugumya. certify, v., manyisa, gumya, tebeza. œsspool, n., ekiinazi. chaff, 11., empunda, entoto, omusunga, ehunda, omusunsi. chafe, v., tonokya. chaff, v. tr., zaanisa, sandaaza, tebura. chain, 11., orujegere, omulmufu, isamba. chair, 11., entebe",,,
cfoobeka,Runyoro-Rutooro,"to enter unannounced, intrude. efookoora, kw-, okw-, v. refi","to enter unannounced (intrude. efookoora, kw-, okw-, v. refi., (pf. - efookoire))",,
chalk,Runyoro-Rutooro,"inoni. challenge, v., eyetera okurwana, simbaan a, soisoimya, endereza, tyongoza, teereerra, kometereza",,,
chameleon,Runyoro-Rutooro,"akapimpina, enyawaruju",,,
champion,Runyoro-Rutooro,"eroanzi, omusinguzi. changeable, be, hindabinduka, ehingahingisa. channel, omugende, omukura, orubibi. chance, 11. obutandwa, omugisa, omwanya",,,
chant,Runyoro-Rutooro,"bindura, foora",,,
char,Runyoro-Rutooro,"ekisiiriiza, ekisiiriira",,,
charcoal,Runyoro-Rutooro,"amakara, amanda. character, adj., omuJingo, engeso. charge, v., ragira, komeetereza, teereerra. charm, v., roga, oba",okugonzangana chase,okugonzangana chase,
charge,Runyoro-Rutooro,"ekiragiro, okuteereerra. char, v., siiriiza",,,
charm,Runyoro-Rutooro,"obuguzi buke, -{a) omubendo mu.ke cheapen, v., keehya orouhendo, dibya, gaarra bansi, gaarra eoyuma. cheapness, omweru, garuukiiriza. cheat, 11., engobya, omugobeza, omuseezi, encwangya, omulyakuzi, enkurungutan iza, enkurugu. cheat, V., gobya, kurungutaniza, seera, katura, cwangya, ya amakutu",,,
cheating,Runyoro-Rutooro,"obugobya, obuseezi. check, v., hinda, tanga, emereza",,,
cheek,Runyoro-Rutooro,"itama, orusaya",see akakurababi. cheeky; c. bone,see akakurababi. cheeky; c. bone,"amakebe, akakurababi"
cheer,Runyoro-Rutooro,see,emirera; teera emirera. cheerful,emirera; teera emirera. cheerful,
chest,Runyoro-Rutooro,"ekifuba, embanda",,,
chicken,Runyoro-Rutooro,"ekitiinisa, -(a) okubanza",,,
chief,Runyoro-Rutooro,"Omukuru, Omukungu, Omutoogole, Omunyoro, Omunyakihanda, Owiisaza, Omugomborozi, Owoomuruka",,,
child,Runyoro-Rutooro,omwana,,,
childhood,Runyoro-Rutooro,"obuto. childless, engumba",,,
chill,Runyoro-Rutooro,"embeho,obutitl,amanyazi",,,
chilli,Runyoro-Rutooro,"kaamurali. chilly, feel, titira. chimney, ekihuru ky'omwika. chimpanzee, izikya",,,
chin,Runyoro-Rutooro,"ibumba. China, ensi ya Coina",,,
chip,Runyoro-Rutooro,"embali, ekibaije. chip, v., baija, mogora, capura, hara, kobora, mogoka, capuka, homora. chirrup, v., tiitiira. chisel, ensinjo, epataasi choice, adj., kwekomeramu ekikusemeriire",,,
