word,dialect,definition,example_runyoro,example_rutooro,related_words
weebumbe,Runyoro-Rutooro,"sensitive plant {Biophytum apodiscus) when touched it collects or folds its leaves.wceboleke, (pl. nil","sensitive plant {Biophytum apodiscus) when touched it collects or folds its leaves.wceboleke; beer that bas stood for four or five days. weerekere!, int., stop a moment! Leave off! Wait a minute!","sensitive plant {Biophytum apodiscus) when touched it collects or folds its leaves.wceboleke; beer that bas stood for four or five days. weerekere!, int., stop a moment! Leave off! Wait a minute!",
week,Runyoro-Rutooro,"w. out, kura, fumuka, dubuka, fafana, hwerra",see amakale; w. well,see amakale; w. well,"cungira, amakale"
weesorole,Runyoro-Rutooro,pl. same,"member of the clan = mwiseruganda o-, Y, a palated semi vowel letter to which a single or double vowel is added. Like w in some words it is capable of being combined witb consonants other than s and v, to produce a y- compow1d. In such a combination there is no need to indicate the length of the vowel coming next to y by doubling it, because it is naturally long.; flock of large birds (Abdim's stork), seen in November, locust birds. weewe,pron.,thou! you there! weza!, im., cl. 9, say! Wezaiwe! Rih! are! Wezaakwo, that was the truth. wezaakwo! int. that is the truth, it is ri&ht'l so, that is it! (exactly!). wiitwale, O-, colonialist, parish chief. wooruganda, o-, n. cl.l, (pl. booruganda. a-)","member of the clan = mwiseruganda o-, Y, a palated semi vowel letter to which a single or double vowel is added. Like w in some words it is capable of being combined witb consonants other than s and v, to produce a y- compow1d. In such a combination there is no need to indicate the length of the vowel coming next to y by doubling it, because it is naturally long.; flock of large birds (Abdim's stork), seen in November, locust birds. weewe,pron.,thou! you there! weza!, im., cl. 9, say! Wezaiwe! Rih! are! Wezaakwo, that was the truth. wezaakwo! int. that is the truth, it is ri&ht'l so, that is it! (exactly!). wiitwale, O-, colonialist, parish chief. wooruganda, o-, n. cl.l, (pl. booruganda. a-)",mwiseruganda
weevil,Runyoro-Rutooro,"empuku. wedding, obuswezi, obugole, obugeoyi obw'obugole. weed, v., ombera, juba, meoyamu, sesura, toorra, agara, kandura, kookooba. weigh, v., lenga, pima. wee, -tiitiiro",,,
weight,Runyoro-Rutooro,"obulemeezi, obwingi, ensika, eotuuro, eokinya","ekirukulenga; ekirukulenga, ibaale cry'okupimisa. weary, become, ruba, jwaha, teba, sota, see tamwa, hunguurra","ekirukulenga; ekirukulenga, ibaale cry'okupimisa. weary, become, ruba, jwaha, teba, sota, see tamwa, hunguurra",tamwa
well,Runyoro-Rutooro,"kuruogi. well, conj., Jeero, oukwo. well, get, kira, tega, ihuka, cwa ebigoye",,,
wheat,Runyoro-Rutooro,engano,,,
wheel,Runyoro-Rutooro,"enyamuziga. whisper, v., baza ebihwa, hwehweteerra, hwebweta wheel, V., kumbagaza, gendesa, sindika, hiringisa",,,
whip,Runyoro-Rutooro,"jubya. whirl, vi, hindukahinduka","w. do u call ii? nanka. whirlwind; be very w., neka. whip, v., teera. wet, v.tr.,jubya. whirl, vi, hindukahinduka","w. do u call ii? nanka. whirlwind; be very w., neka. whip, v., teera. wet, v.tr.,jubya. whirl, vi, hindukahinduka",
whistle,Runyoro-Rutooro,"galihya, taramya, haahira, gazihya. winding road, mayugi wind, v.tr., hotora, myora, zingiirra, zinga, zingisa, hotooleza, w.selfround and round, ezingiirra",see omugirigimba. wholesale; see termites. whenever,see omugirigimba. wholesale; see termites. whenever,"omugirigimba, termites"
widow,Runyoro-Rutooro,omufaakati,,,
widower,Runyoro-Rutooro,"omusaija anyakufeeriirwe omkazi. willing, be,end, ikiriza, huurra, oroba, jwahuka. wind-pipe,n., omumiro",,,
widowhood,Runyoro-Rutooro,obufaakati,,,
will,Runyoro-Rutooro,engweta,"make a w., gweta. wink, v., koimya, zibiiriza, kohya","make a w., gweta. wink, v., koimya, zibiiriza, kohya",
wind,Runyoro-Rutooro,"omuyaga, embeho, ihunga",see empuuka,see empuuka,empuuka
window,Runyoro-Rutooro,edirisa,,,
wine,Runyoro-Rutooro,"eviini. width, adj., obugazi. okugaliha, obukiika. \vinepress, n., endeeba, ijungiro, ekinyunkiro. wield, kozesa",see kaihabuleju,see kaihabuleju,kaihabuleju
wing,Runyoro-Rutooro,ipapa,,,
winnow,Runyoro-Rutooro,"kusegesa, hehemukya. winnowing-tray,n.,orugali,ekitaro. winter, ebiro eby'embeho. wipe, ragaza, susuura, siisiiriza",,,
wire,Runyoro-Rutooro,"orwoma,orunyeerre",,,
wisdom,Runyoro-Rutooro,"amagezi,amacwacwa",,,
wish,Runyoro-Rutooro,"okwenda, okugonza. wish, v., enda, gonza",,,
wit,Runyoro-Rutooro,amagezi,,,
witch,Runyoro-Rutooro,"omurogo, omusezi",,,
witchcraft,Runyoro-Rutooro,"ibaho, ibamu",ahamu. withdraw; see ikura,ahamu. withdraw; see ikura,"jumuurra, ikura"
within,Runyoro-Rutooro,omunda,,,
without,Runyoro-Rutooro,taina,,,
witness,Runyoro-Rutooro,"omujulizi, omujuilirwa, kaiso, endugaho",see omereza; call to witness,see omereza; call to witness,omereza
wolf,Runyoro-Rutooro,omwaga,,,
womanhood,Runyoro-Rutooro,"worm, omuniongorozi, omuoyole","get w., kura, see, wear out","get w., kura, see, wear out",
womb,Runyoro-Rutooro,"enda,nyineoda. work, v. kora omulimo",w. very hard; inika hamirimo,w. very hard; inika hamirimo,omupagasa
wood,Runyoro-Rutooro,omuti,,,
woodpecker,Runyoro-Rutooro,"eokonkomerezi, ekik:onkonamut i",,,
wool,Runyoro-Rutooro,ebyoya eby'entama,,,efaraano
work,Runyoro-Rutooro,omulimo,see amakatara,see amakatara,amakatara
worry,Runyoro-Rutooro,"tuntuza, guniiriza, teganize, sondokora, gadya, jookooza, kurungutaniza, teera empwiju, talibaniza. worse, grow, v., siisikara",ziringitana,ziringitana,
worship,Runyoro-Rutooro,"okuramya, endamya. worship, v., ramya. worshipper, v., omurami. worst, adj., rel., of kira obubi. worst, v., binga, singura worth, be, gasa, gura, ingana na",,,
worth,Runyoro-Rutooro,"omugaso, oburungi, omuhendo. worthless, be, taba n'omugaso,jaata","use v.,gasa in neg. rel.form, see ekyalinga, omuhungu, enkolyo, ekiharaizima, ekisomamahuli, ekifamutima. worthy,be, semeerra, kisemeriire","use v.,gasa in neg. rel.form, see ekyalinga, omuhungu, enkolyo, ekiharaizima, ekisomamahuli, ekifamutima. worthy,be, semeerra, kisemeriire",ekyalinga
wound,Runyoro-Rutooro,"obuhuta, ekihuta, engoga, ekifufu, ekikoosole. wound, v., cumita, hutaaza, teera orubaaale. wounded person, n., omuhuta, emputa. wounded, be, v., hutaara, cumitwa. wrangle, v., teezangana empaka, twalikana, somangana",,,
wrap,Runyoro-Rutooro,"omunagiro. wrap, v., kuba, fubika, zingiza, kuma",v. oneself up,v. oneself up,
